25/12540 correct=17 acc=0.680
    },
    {
      "benchmark": "usr",
      "task": "unpuzzles/original",
      "correct": 26,
      "total": 80,
      "accuracy": 0.325
    },
    {
      "benchmark": "usr",
      "task": "unpuzzles/unpuzzle",
      "correct": 21,
      "total": 80,
      "accuracy": 0.2625
    }
  ]
}
